Movie,Genre,Runtime,Rating,Votes,Year,Synopsis,Actors,Certificate,Image
The Tick,"Action, Adventure, Comedy",29 min,7.4,"19,328",2016–2019,"In a world where superheroes have been real for decades, an accountant with no superpowers comes to realize his city is owned by a super villain. As he struggles to uncover this conspiracy, he falls in league with a strange blue superhero.","Peter Serafinowicz, Griffin Newman, Valorie Curry, Brendan Hines",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Defenders,"Action, Adventure, Crime",50 min,7.2,"113,699",2017,"Set a few months after the events of the second season of Daredevil, and a month after the events of Iron Fist, the vigilantes Daredevil, Jessica Jones, Luke Cage, and Iron Fist team up in New York City to fight a common enemy: The Hand.","Charlie Cox, Krysten Ritter, Mike Colter, Finn Jones",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The 10th Kingdom,"Adventure, Comedy, Family",417 min,8.3,"19,757",2000,"A father and daughter are caught in a parallel universe where the great Queens Snow White, Cinderella and Riding Hood III have had their kingdoms fragmented by warring trolls, giants and goblins.","Kimberly Williams-Paisley, Scott Cohen, Dianne Wiest, Daniel Lapaine",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Akame ga Kill!,"Animation, Action, Adventure",24 min,7.8,"27,917",2014,A countryside boy named Tatsumi sets out on a journey to The Capital to make a name for himself and met a seemingly dangerous group of Assassins known as Night Raid. Their journey begins.,"Sôma Saitô, Corey Hartzog, Sora Amamiya, Molly Searcy",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Jurassic World: Camp Cretaceous,"Animation, Action, Adventure",24 min,7.5,"9,964",2020–2022,Six teens attending an adventure camp on the opposite side of Isla Nublar must band together to survive when dinosaurs wreak havoc on the island.,"Paul-Mikél Williams, Kausar Mohammed, Raini Rodriguez, Jenna Ortega",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Misfits of Science,"Adventure, Comedy, Sci-Fi",60 min,7.4,"1,200",1985–1986,The adventures of a team of misfit superheroes who fight crime for a scientific think tank.,"Dean Paul Martin, Kevin Peter Hall, Mark Thomas Miller, Courteney Cox",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Dota: Dragon's Blood,"Animation, Action, Adventure",25 min,7.7,"20,966",2021–,"After encounters with a dragon and a princess on her own mission, a Dragon Knight becomes embroiled in events larger than he could have ever imagined.","Yuri Lowenthal, Lara Pulver, Troy Baker, Freya Tingley",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
SeaQuest DSV,"Action, Adventure, Family",60 min,6.7,"7,523",1993–1996,"In the early 21st century, mankind has colonized the oceans. The United Earth Oceans Organization enlists Captain Nathan Bridger and the submarine seaQuest DSV to keep the peace and explore the last frontier on Earth.","Jonathan Brandis, Don Franklin, Ted Raimi, Darwin",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Mortal Kombat: Conquest,"Action, Adventure, Fantasy",40 min,6.2,"5,035",1998–1999,"Kung Lao has triumphed in the Mortal Kombat tournament, defeating Shang Tsung and saving Earth Realm. Now, he must train a new generation of warriors for the next tournament.","Paolo Montalban, Daniel Bernhardt, Kristanna Loken, Tracy Douglas",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Knuckles,"Action, Adventure, Comedy",,,No votes yet,2023–,Add a Plot,"Tony Coughlan, Colleen O'Shaughnessey, Daniel Singh, Alfredo Tavares",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Robin Hood,"Action, Adventure, Comedy",60 min,7.4,"17,078",2006–2009,"After 5 years of fighting in the crusades, Robin returns to England and leads a band of outlaws to outwit the Sheriff of Nottingham.","Jonas Armstrong, Gordon Kennedy, Sam Troughton, Joe Armstrong",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Shogun,"Adventure, Drama, History",,,No votes yet,2023–,"Set in the 17th Century, John Blackthorne, a sailor who rises from outsider to samurai, while being used as a pawn in Japanese leader Toranaga's struggle to reach the top of the ruling chain, or Shogun.","Hiroyuki Sanada, Cosmo Jarvis, Tadanobu Asano, Anna Sawai",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
"Gordon, Gino & Fred's Road Trip","Adventure, Comedy, Reality-TV",45 min,8.4,"1,844",2018–,"Join British superstar Gordon Ramsay, Italian stallion Gino D'Acampo and French master maitre d' Fred Sirieix as they take a road trip.","Gordon Ramsay, Gino D'Acampo, Fred Sirieix, Luke Campbell",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
